,Key,Scenario,NH4_sew,PO4_sew
0,ES_Baseline,Extended,"{'avg_daily_load': 32023.886439707127, 'max_daily_load': 49576.08969066627, 'avg_daily_concentration': 40.94312786794815, 'max_daily_concentration': 47.57400860824897}","{'avg_daily_load': 5167.490766407286, 'max_daily_load': 7999.7781091756915, 'avg_daily_concentration': 6.606731996873452, 'max_daily_concentration': 7.676715025421993}"
1,ES_Baseline,DWF,"{'avg_daily_load': 28800.841700084184, 'max_daily_load': 41734.78390037724, 'avg_daily_concentration': 44.03142862081552, 'max_daily_concentration': 48.90285834638371}","{'avg_daily_load': 4647.408547059039, 'max_daily_load': 6734.476493015418, 'avg_daily_concentration': 7.105071436540685, 'max_daily_concentration': 7.89114305134828}"
2,ES_Baseline,WWF,"{'avg_daily_load': 30601.108243502957, 'max_daily_load': 51158.37659131122, 'avg_daily_concentration': 40.99554914336092, 'max_daily_concentration': 47.12833727172623}","{'avg_daily_load': 4937.906102928887, 'max_daily_load': 8255.101677234312, 'avg_daily_concentration': 6.615190884496876, 'max_daily_concentration': 7.604799877937642}"
3,ES_RTC,Extended,"{'avg_daily_load': 31363.936813057735, 'max_daily_load': 38133.08699432998, 'avg_daily_concentration': 40.562867904951894, 'max_daily_concentration': 43.68328781586451}","{'avg_daily_load': 5060.998894834314, 'max_daily_load': 6153.2935831759705, 'avg_daily_concentration': 6.545371866480871, 'max_daily_concentration': 7.048894170287224}"
4,ES_RTC,DWF,"{'avg_daily_load': 29441.319535865252, 'max_daily_load': 30367.145101965965, 'avg_daily_concentration': 44.346284261612126, 'max_daily_concentration': 44.86068266260545}","{'avg_daily_load': 4750.758379650985, 'max_daily_load': 4900.15295963541, 'avg_daily_concentration': 7.155877687669232, 'max_daily_concentration': 7.238882884193141}"
5,ES_RTC,WWF,"{'avg_daily_load': 29138.62781207207, 'max_daily_load': 35601.09056170133, 'avg_daily_concentration': 38.62783302760055, 'max_daily_concentration': 42.73561108440845}","{'avg_daily_load': 4701.914942402538, 'max_daily_load': 5744.721431547258, 'avg_daily_concentration': 6.233127602180995, 'max_daily_concentration': 6.895973606802272}"
6,ES_RTC_ensemble,Extended,"{'avg_daily_load': 31295.36201884922, 'max_daily_load': 38824.51909026242, 'avg_daily_concentration': 40.46837640670452, 'max_daily_concentration': 43.391251723153786}","{'avg_daily_load': 5049.933416677941, 'max_daily_load': 6264.865580474163, 'avg_daily_concentration': 6.530124374718228, 'max_daily_concentration': 7.001770164417992}"
7,ES_RTC_ensemble,DWF,"{'avg_daily_load': 29172.774560741775, 'max_daily_load': 30081.849109982566, 'avg_daily_concentration': 43.9421346078626, 'max_daily_concentration': 44.4523663574412}","{'avg_daily_load': 4707.424985937877, 'max_daily_load': 4854.116560928999, 'avg_daily_concentration': 7.090662629905102, 'max_daily_concentration': 7.172995480405277}"
8,ES_RTC_ensemble,WWF,"{'avg_daily_load': 29110.205882510327, 'max_daily_load': 35745.890253213845, 'avg_daily_concentration': 38.54954575410691, 'max_daily_concentration': 42.395150865297985}","{'avg_daily_load': 4697.328676495982, 'max_daily_load': 5768.086836314051, 'avg_daily_concentration': 6.220494883049066, 'max_daily_concentration': 6.841035707809446}"
9,RZ_Baseline,Extended,"{'avg_daily_load': 25851.822176282698, 'max_daily_load': 38418.80394739564, 'avg_daily_concentration': 39.977141203836325, 'max_daily_concentration': 47.901039814024664}","{'avg_daily_load': 4171.544032991071, 'max_daily_load': 6199.397909693385, 'avg_daily_concentration': 6.450856876073589, 'max_daily_concentration': 7.729485969990341}"
10,RZ_Baseline,DWF,"{'avg_daily_load': 23235.22006978958, 'max_daily_load': 32205.95919008396, 'avg_daily_concentration': 44.06285731099227, 'max_daily_concentration': 49.34285915185943}","{'avg_daily_load': 3749.3196021705917, 'max_daily_load': 5196.87068749082, 'avg_daily_concentration': 7.110142884273752, 'max_daily_concentration': 7.962143181322772}"
11,RZ_Baseline,WWF,"{'avg_daily_load': 24690.064665251546, 'max_daily_load': 35438.90347343389, 'avg_daily_concentration': 40.70136147000866, 'max_daily_concentration': 47.51996124331934}","{'avg_daily_load': 3984.078616438317, 'max_daily_load': 5718.550333213197, 'avg_daily_concentration': 6.567719691751397, 'max_daily_concentration': 7.667993746081074}"
12,RZ_RTC,Extended,"{'avg_daily_load': 26371.074164913345, 'max_daily_load': 45096.06556555066, 'avg_daily_concentration': 38.60338629986632, 'max_daily_concentration': 40.82401508218169}","{'avg_daily_load': 4255.332422065563, 'max_daily_load': 7276.865125350222, 'avg_daily_concentration': 6.229182789296611, 'max_daily_concentration': 6.587511524624773}"
13,RZ_RTC,DWF,"{'avg_daily_load': 21570.20449736649, 'max_daily_load': 22559.637402504577, 'avg_daily_concentration': 40.9371723398341, 'max_daily_concentration': 41.61040481788249}","{'avg_daily_load': 3480.6466348023164, 'max_daily_load': 3640.305126313237, 'avg_daily_concentration': 6.605770991200495, 'max_daily_concentration': 6.714406231976489}"
14,RZ_RTC,WWF,"{'avg_daily_load': 24959.416616328403, 'max_daily_load': 48315.3468849181, 'avg_daily_concentration': 38.212778387421466, 'max_daily_concentration': 40.387699773877216}","{'avg_daily_load': 4027.542226725716, 'max_daily_load': 7796.340065520869, 'avg_daily_concentration': 6.166152876152091, 'max_daily_concentration': 6.517106099875632}"
15,RZ_RTC_ensemble,Extended,"{'avg_daily_load': 26370.973377119593, 'max_daily_load': 48867.8682843468, 'avg_daily_concentration': 38.775929256140536, 'max_daily_concentration': 41.073603191468145}","{'avg_daily_load': 4255.316158580661, 'max_daily_load': 7885.496927701416, 'avg_daily_concentration': 6.25702494814995, 'max_daily_concentration': 6.627785969532361}"
16,RZ_RTC_ensemble,DWF,"{'avg_daily_load': 21745.93319322985, 'max_daily_load': 22662.20877913402, 'avg_daily_concentration': 41.33384261026989, 'max_daily_concentration': 41.975540604746826}","{'avg_daily_load': 3509.002856180263, 'max_daily_load': 3656.8564166329797, 'avg_daily_concentration': 6.669779148475354, 'max_daily_concentration': 6.773325870311403}"
17,RZ_RTC_ensemble,WWF,"{'avg_daily_load': 25466.8943282292, 'max_daily_load': 47370.97541591773, 'avg_daily_concentration': 38.57504412596824, 'max_daily_concentration': 40.94036327359749}","{'avg_daily_load': 4109.430675691528, 'max_daily_load': 7643.95285120491, 'avg_daily_concentration': 6.224609393053967, 'max_daily_concentration': 6.60628589187596}"
